日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2021-09-16,0.896,0.868,0.898,0.867,418528,36789962.0,3.44,-3.77,-0.034,6.52
2021-09-17,0.873,0.872,0.88,0.856,229061,19821094.0,2.76,0.46,0.004,3.57
2021-09-22,0.865,0.878,0.888,0.86,219345,19265507.0,3.21,0.69,0.006,3.42
2021-09-23,0.878,0.897,0.909,0.869,314915,28061948.0,4.56,2.16,0.019,4.91
2021-09-24,0.893,0.892,0.902,0.888,142939,12795047.0,1.56,-0.56,-0.005,2.23
2021-09-27,0.898,0.888,0.909,0.878,149610,13419475.0,3.48,-0.45,-0.004,2.33
2021-09-28,0.889,0.89,0.91,0.873,155535,13878490.0,4.17,0.23,0.002,2.42
2021-09-29,0.88,0.87,0.884,0.869,176983,15478016.0,1.69,-2.25,-0.02,2.76
2021-09-30,0.873,0.879,0.884,0.868,128377,11276293.0,1.84,1.03,0.009,2.0
2021-10-08,0.888,0.877,0.897,0.872,125154,11042173.0,2.84,-0.23,-0.002,1.95
2021-10-11,0.879,0.861,0.88,0.86,234906,20376562.0,2.28,-1.82,-0.016,3.66
2021-10-12,0.86,0.833,0.863,0.827,266263,22440669.0,4.18,-3.25,-0.028,4.15
2021-10-13,0.832,0.851,0.855,0.83,170269,14329908.0,3.0,2.16,0.018,2.65
2021-10-14,0.851,0.857,0.862,0.85,114683,9828084.0,1.41,0.71,0.006,1.79
2021-10-15,0.857,0.886,0.891,0.854,370742,32579865.0,4.32,3.38,0.029,5.78
2021-10-18,0.891,0.877,0.891,0.866,135559,11843839.0,2.82,-1.02,-0.009,2.11
2021-10-19,0.877,0.878,0.884,0.873,94042,8254614.0,1.25,0.11,0.001,1.46
2021-10-20,0.878,0.88,0.885,0.876,109441,9632335.0,1.03,0.23,0.002,1.7
2021-10-21,0.88,0.864,0.88,0.86,123687,10734225.0,2.27,-1.82,-0.016,1.93
2021-10-22,0.87,0.885,0.895,0.866,279641,24750833.0,3.36,2.43,0.021,4.36
2021-10-25,0.885,0.895,0.895,0.88,140309,12463525.0,1.69,1.13,0.01,2.19
2021-10-26,0.895,0.895,0.903,0.885,162012,14506687.0,2.01,0.0,0.0,2.52
2021-10-27,0.891,0.886,0.895,0.882,95916,8508176.0,1.45,-1.01,-0.009,1.49
2021-10-28,0.886,0.886,0.898,0.881,95950,8561810.0,1.92,0.0,0.0,1.49
2021-10-29,0.886,0.906,0.909,0.883,191937,17294982.0,2.93,2.26,0.02,2.99
2021-11-01,0.909,0.909,0.919,0.898,162223,14781722.0,2.32,0.33,0.003,2.53
2021-11-02,0.909,0.93,0.94,0.909,323429,30102097.0,3.41,2.31,0.021,5.04
2021-11-03,0.938,0.924,0.945,0.916,133605,12434142.0,3.12,-0.65,-0.006,2.08
2021-11-04,0.928,0.935,0.945,0.928,127182,11924017.0,1.84,1.19,0.011,1.98
2021-11-05,0.943,0.938,0.957,0.937,120139,11367780.0,2.14,0.32,0.003,1.87
2021-11-08,0.937,0.924,0.937,0.907,138427,12698687.0,3.2,-1.49,-0.014,2.16
2021-11-09,0.925,0.945,0.95,0.916,171755,16061862.0,3.68,2.27,0.021,2.68
2021-11-10,0.943,0.949,0.952,0.933,182257,17231650.0,2.01,0.42,0.004,2.84
2021-11-11,0.946,0.977,0.99,0.943,501348,48565685.0,4.95,2.95,0.028,7.81
2021-11-12,0.973,0.972,0.976,0.965,132030,12818729.0,1.13,-0.51,-0.005,2.06
2021-11-15,0.971,0.954,0.978,0.953,113345,10931246.0,2.57,-1.85,-0.018,1.77
2021-11-16,0.954,0.941,0.961,0.936,141343,13405651.0,2.62,-1.36,-0.013,2.2
2021-11-17,0.941,0.947,0.948,0.928,103433,9695995.0,2.13,0.64,0.006,1.61
2021-11-18,0.947,0.936,0.947,0.931,110117,10314463.0,1.69,-1.16,-0.011,1.72
2021-11-19,0.936,0.938,0.944,0.93,86039,8050645.0,1.5,0.21,0.002,1.34
2021-11-22,0.938,0.981,0.984,0.937,424101,41168531.0,5.01,4.58,0.043,6.61
2021-11-23,0.975,0.972,0.985,0.97,132122,12913435.0,1.53,-0.92,-0.009,2.06
2021-11-24,0.972,0.968,0.983,0.967,108219,10533650.0,1.65,-0.41,-0.004,1.69
2021-11-25,0.974,0.973,0.986,0.961,92390,9026960.0,2.58,0.52,0.005,1.44
2021-11-26,0.972,0.95,0.972,0.946,182775,17451571.0,2.67,-2.36,-0.023,2.85
2021-11-29,0.943,0.952,0.955,0.934,70328,6677567.0,2.21,0.21,0.002,1.1
2021-11-30,0.954,0.96,0.969,0.953,110678,10651741.0,1.68,0.84,0.008,1.72
2021-12-01,0.965,0.959,0.976,0.953,98684,9498878.0,2.4,-0.1,-0.001,1.54
2021-12-02,0.959,0.957,0.968,0.955,66423,6377133.0,1.36,-0.21,-0.002,1.03
2021-12-03,0.957,0.976,0.989,0.957,241781,23647931.0,3.34,1.99,0.019,3.77
2021-12-06,0.978,0.96,0.982,0.958,101623,9825561.0,2.46,-1.64,-0.016,1.58
2021-12-07,0.971,0.942,0.971,0.933,145980,13756230.0,3.96,-1.88,-0.018,2.27
2021-12-08,0.947,0.96,0.961,0.943,119392,11412767.0,1.91,1.91,0.018,1.86
2021-12-09,0.962,0.964,0.968,0.958,84164,8110613.0,1.04,0.42,0.004,1.31
2021-12-10,0.964,0.962,0.964,0.952,64346,6161579.0,1.24,-0.21,-0.002,1.0
2021-12-13,0.959,0.966,0.968,0.954,78054,7518305.0,1.46,0.42,0.004,1.22
2021-12-14,0.964,0.962,0.965,0.956,42012,4037884.0,0.93,-0.41,-0.004,0.65
2021-12-15,0.962,0.952,0.965,0.95,71697,6855218.0,1.56,-1.04,-0.01,1.12
2021-12-16,0.952,0.951,0.959,0.949,75289,7169801.0,1.05,-0.11,-0.001,1.17
2021-12-17,0.955,0.93,0.955,0.923,155219,14457818.0,3.36,-2.21,-0.021,2.42
2021-12-20,0.931,0.91,0.931,0.909,99986,9155317.0,2.37,-2.15,-0.02,1.56
2021-12-21,0.914,0.915,0.918,0.901,71967,6538780.0,1.87,0.55,0.005,1.12
2021-12-22,0.918,0.923,0.935,0.918,72046,6681414.0,1.86,0.87,0.008,1.12
2021-12-23,0.923,0.923,0.928,0.919,46443,4285523.0,0.98,0.0,0.0,0.72
2021-12-24,0.925,0.92,0.931,0.915,61849,5700653.0,1.73,-0.33,-0.003,0.96
2021-12-27,0.92,0.918,0.927,0.914,57495,5292776.0,1.41,-0.22,-0.002,0.9
2021-12-28,0.925,0.92,0.925,0.911,62578,5733527.0,1.53,0.22,0.002,0.97
2021-12-29,0.921,0.907,0.922,0.904,67828,6167458.0,1.96,-1.41,-0.013,1.06
2021-12-30,0.91,0.93,0.933,0.908,125173,11601581.0,2.76,2.54,0.023,1.95
2021-12-31,0.93,0.929,0.93,0.921,54865,5083214.0,0.97,-0.11,-0.001,0.85
2022-01-04,0.929,0.913,0.932,0.904,105173,9600450.0,3.01,-1.72,-0.016,1.64
2022-01-05,0.912,0.885,0.912,0.872,212710,18837807.0,4.38,-3.07,-0.028,3.31
2022-01-06,0.876,0.873,0.879,0.862,115228,10047417.0,1.92,-1.36,-0.012,1.79
2022-01-07,0.873,0.863,0.883,0.861,78144,6802892.0,2.52,-1.15,-0.01,1.22
2022-01-10,0.862,0.862,0.862,0.843,77150,6596127.0,2.2,-0.12,-0.001,1.2
2022-01-11,0.864,0.841,0.864,0.836,181492,15315819.0,3.25,-2.44,-0.021,2.83
2022-01-12,0.841,0.852,0.853,0.839,108596,9188583.0,1.66,1.31,0.011,1.69
2022-01-13,0.852,0.841,0.854,0.84,67531,5694137.0,1.64,-1.29,-0.011,1.05
2022-01-14,0.837,0.85,0.859,0.834,95326,8117030.0,2.97,1.07,0.009,1.48
2022-01-17,0.85,0.866,0.87,0.848,118464,10243252.0,2.59,1.88,0.016,1.85
2022-01-18,0.865,0.875,0.888,0.863,118138,10369529.0,2.89,1.04,0.009,1.84
2022-01-19,0.877,0.863,0.877,0.858,54050,4667977.0,2.17,-1.37,-0.012,0.84
2022-01-20,0.863,0.855,0.87,0.854,52662,4520155.0,1.85,-0.93,-0.008,0.82
2022-01-21,0.855,0.841,0.855,0.838,69545,5865639.0,1.99,-1.64,-0.014,1.08
2022-01-24,0.841,0.851,0.852,0.838,39639,3352043.0,1.66,1.19,0.01,0.62
2022-01-25,0.844,0.836,0.854,0.834,66662,5612732.0,2.35,-1.76,-0.015,1.04
2022-01-26,0.84,0.842,0.845,0.828,59821,5015472.0,2.03,0.72,0.006,0.93
2022-01-27,0.841,0.826,0.841,0.813,88868,7312017.0,3.33,-1.9,-0.016,1.38
2022-01-28,0.826,0.8,0.826,0.798,108940,8789278.0,3.39,-3.15,-0.026,1.7
2022-02-07,0.817,0.804,0.822,0.8,48636,3934515.0,2.75,0.5,0.004,0.76
2022-02-08,0.806,0.783,0.806,0.769,116680,9128498.0,4.6,-2.61,-0.021,1.82
2022-02-09,0.782,0.789,0.789,0.77,89882,7017391.0,2.43,0.77,0.006,1.4
2022-02-10,0.79,0.789,0.795,0.784,69621,5493066.0,1.39,0.0,0.0,1.08
2022-02-11,0.782,0.775,0.791,0.773,60140,4692117.0,2.28,-1.77,-0.014,0.94
2022-02-14,0.769,0.767,0.78,0.76,53061,4072074.0,2.58,-1.03,-0.008,0.83
2022-02-15,0.776,0.795,0.796,0.771,120740,9503250.0,3.26,3.65,0.028,1.88
2022-02-16,0.797,0.791,0.801,0.788,43951,3491265.0,1.64,-0.5,-0.004,0.68
2022-02-17,0.791,0.798,0.807,0.787,78466,6259246.0,2.53,0.88,0.007,1.22
2022-02-18,0.797,0.792,0.797,0.788,48036,3801042.0,1.13,-0.75,-0.006,0.75
2022-02-21,0.792,0.79,0.797,0.787,50690,4004409.0,1.26,-0.25,-0.002,0.79
2022-02-22,0.786,0.791,0.795,0.773,60350,4744251.0,2.78,0.13,0.001,0.94
2022-02-23,0.793,0.836,0.838,0.793,216388,17821197.0,5.69,5.69,0.045,3.37
2022-02-24,0.838,0.828,0.842,0.816,105248,8723226.0,3.11,-0.96,-0.008,1.64
2022-02-25,0.846,0.835,0.849,0.832,106571,8953346.0,2.05,0.85,0.007,1.66
2022-02-28,0.842,0.839,0.845,0.831,42460,3560817.0,1.68,0.48,0.004,0.66
2022-03-01,0.844,0.839,0.844,0.835,64871,5440464.0,1.07,0.0,0.0,1.01
2022-03-02,0.836,0.828,0.836,0.821,58178,4807148.0,1.79,-1.31,-0.011,0.91
2022-03-03,0.837,0.815,0.837,0.812,73029,5996306.0,3.02,-1.57,-0.013,1.14
2022-03-04,0.814,0.819,0.834,0.805,62276,5121982.0,3.56,0.49,0.004,0.97
2022-03-07,0.814,0.799,0.814,0.786,100169,7988190.0,3.42,-2.44,-0.02,1.56
2022-03-08,0.797,0.79,0.807,0.775,108735,8631447.0,4.01,-1.13,-0.009,1.69
2022-03-09,0.795,0.795,0.81,0.767,113610,9013208.0,5.44,0.63,0.005,1.77
2022-03-10,0.825,0.806,0.825,0.801,94336,7635320.0,3.02,1.38,0.011,1.47
2022-03-11,0.8,0.801,0.803,0.781,76284,6030201.0,2.73,-0.62,-0.005,1.19
2022-03-14,0.8,0.778,0.8,0.778,73095,5745464.0,2.75,-2.87,-0.023,1.14
2022-03-15,0.758,0.756,0.785,0.754,84364,6456273.0,3.98,-2.83,-0.022,1.31
2022-03-16,0.758,0.782,0.783,0.74,111042,8446546.0,5.69,3.44,0.026,1.73
2022-03-17,0.799,0.797,0.812,0.795,170948,13731137.0,2.17,1.92,0.015,2.66
2022-03-18,0.795,0.794,0.797,0.785,56878,4492824.0,1.51,-0.38,-0.003,0.89
2022-03-21,0.794,0.797,0.803,0.788,44255,3520973.0,1.89,0.38,0.003,0.69
2022-03-22,0.791,0.786,0.799,0.784,49188,3886812.0,1.88,-1.38,-0.011,0.77
2022-03-23,0.787,0.786,0.791,0.778,30814,2414499.0,1.65,0.0,0.0,0.48
2022-03-24,0.78,0.771,0.789,0.765,55073,4246220.0,3.05,-1.91,-0.015,0.86
2022-03-25,0.77,0.76,0.781,0.759,61859,4744051.0,2.85,-1.43,-0.011,0.96
2022-03-28,0.76,0.75,0.76,0.747,60550,4544188.0,1.71,-1.32,-0.01,0.94
2022-03-29,0.75,0.737,0.755,0.733,85016,6295734.0,2.93,-1.73,-0.013,1.32
2022-03-30,0.743,0.749,0.749,0.738,63849,4740044.0,1.49,1.63,0.012,0.99
2022-03-31,0.744,0.729,0.745,0.726,124817,9151464.0,2.54,-2.67,-0.02,1.94
2022-04-01,0.72,0.728,0.736,0.72,49797,3623019.0,2.19,-0.14,-0.001,0.78
2022-04-06,0.724,0.704,0.726,0.701,169418,12000777.0,3.43,-3.3,-0.024,2.64
2022-04-07,0.7,0.694,0.708,0.692,74884,5226495.0,2.27,-1.42,-0.01,1.17
2022-04-08,0.696,0.695,0.701,0.682,82599,5713547.0,2.74,0.14,0.001,1.29
2022-04-11,0.69,0.662,0.69,0.655,148987,9973548.0,5.04,-4.75,-0.033,2.32
2022-04-12,0.661,0.667,0.668,0.648,104076,6842874.0,3.02,0.76,0.005,1.62
2022-04-13,0.66,0.651,0.661,0.65,67885,4439321.0,1.65,-2.4,-0.016,1.06
2022-04-14,0.654,0.662,0.668,0.643,127932,8367809.0,3.84,1.69,0.011,1.99
2022-04-15,0.65,0.661,0.665,0.649,92745,6105599.0,2.42,-0.15,-0.001,1.44
2022-04-18,0.66,0.683,0.683,0.656,127320,8600378.0,4.08,3.33,0.022,1.98
2022-04-19,0.678,0.671,0.683,0.668,66812,4495155.0,2.2,-1.76,-0.012,1.04
2022-04-20,0.672,0.662,0.677,0.661,69671,4655330.0,2.38,-1.34,-0.009,1.09
2022-04-21,0.66,0.644,0.67,0.643,89374,5864638.0,4.08,-2.72,-0.018,1.39
2022-04-22,0.644,0.63,0.648,0.628,69593,4422174.0,3.11,-2.17,-0.014,1.08
2022-04-25,0.627,0.59,0.627,0.584,209401,12655923.0,6.83,-6.35,-0.04,3.26
2022-04-26,0.59,0.566,0.59,0.563,107951,6231102.0,4.58,-4.07,-0.024,1.68
2022-04-27,0.553,0.6,0.606,0.55,209570,12210639.0,9.89,6.01,0.034,3.26
2022-04-28,0.6,0.595,0.604,0.588,144188,8595205.0,2.67,-0.83,-0.005,2.25
2022-04-29,0.597,0.619,0.622,0.595,116536,7076886.0,4.54,4.03,0.024,1.82
2022-05-05,0.614,0.621,0.63,0.612,82460,5115907.0,2.91,0.32,0.002,1.28
2022-05-06,0.615,0.604,0.615,0.601,34988,2121767.0,2.25,-2.74,-0.017,0.55
2022-05-09,0.605,0.6,0.609,0.596,39989,2403373.0,2.15,-0.66,-0.004,0.62
2022-05-10,0.595,0.619,0.63,0.588,123474,7643917.0,7.0,3.17,0.019,1.92
2022-05-11,0.62,0.649,0.659,0.62,197203,12771917.0,6.3,4.85,0.03,3.07
2022-05-12,0.647,0.65,0.658,0.639,85626,5533052.0,2.93,0.15,0.001,1.33
2022-05-13,0.65,0.65,0.665,0.643,68437,4440679.0,3.38,0.0,0.0,1.07
2022-05-16,0.656,0.642,0.664,0.64,51940,3367410.0,3.69,-1.23,-0.008,0.81
2022-05-17,0.644,0.661,0.664,0.64,103353,6784884.0,3.74,2.96,0.019,1.61
2022-05-18,0.663,0.667,0.671,0.661,80305,5355102.0,1.51,0.91,0.006,1.25
2022-05-19,0.659,0.677,0.678,0.652,104000,6957838.0,3.9,1.5,0.01,1.62
2022-05-20,0.676,0.68,0.684,0.671,65522,4438644.0,1.92,0.44,0.003,1.02
2022-05-23,0.68,0.686,0.686,0.674,40437,2751081.0,1.76,0.88,0.006,0.63
2022-05-24,0.685,0.658,0.69,0.652,82543,5548097.0,5.54,-4.08,-0.028,1.29
2022-05-25,0.658,0.66,0.667,0.652,43306,2853577.0,2.28,0.3,0.002,0.67
2022-05-26,0.66,0.655,0.661,0.641,61920,4015882.0,3.03,-0.76,-0.005,0.96
2022-05-27,0.656,0.651,0.665,0.648,55619,3646598.0,2.6,-0.61,-0.004,0.87
2022-05-30,0.651,0.657,0.661,0.646,55588,3633431.0,2.3,0.92,0.006,0.87
2022-05-31,0.657,0.672,0.672,0.646,78690,5218478.0,3.96,2.28,0.015,1.23
2022-06-01,0.671,0.672,0.676,0.665,54559,3657603.0,1.64,0.0,0.0,0.85
2022-06-02,0.672,0.697,0.698,0.668,154332,10635702.0,4.46,3.72,0.025,2.4
2022-06-06,0.698,0.715,0.717,0.693,128860,9149562.0,3.44,2.58,0.018,2.01
2022-06-07,0.717,0.703,0.717,0.699,81394,5742895.0,2.52,-1.68,-0.012,1.27
2022-06-08,0.703,0.703,0.71,0.691,67576,4730977.0,2.7,0.0,0.0,1.05
2022-06-09,0.703,0.683,0.704,0.677,97219,6665496.0,3.84,-2.84,-0.02,1.51
2022-06-10,0.68,0.69,0.694,0.675,100019,6862243.0,2.78,1.02,0.007,1.56
2022-06-13,0.687,0.683,0.691,0.676,63835,4359507.0,2.17,-1.01,-0.007,0.99
2022-06-14,0.676,0.673,0.676,0.649,94109,6219705.0,3.95,-1.46,-0.01,1.47
2022-06-15,0.673,0.678,0.689,0.669,74435,5077977.0,2.97,0.74,0.005,1.16
2022-06-16,0.677,0.688,0.698,0.677,83393,5760261.0,3.1,1.47,0.01,1.3
2022-06-17,0.682,0.688,0.689,0.671,81060,5512592.0,2.62,0.0,0.0,1.26
2022-06-20,0.69,0.693,0.703,0.686,128010,8901214.0,2.47,0.73,0.005,1.99
2022-06-21,0.694,0.685,0.695,0.68,98470,6749664.0,2.16,-1.15,-0.008,1.53
2022-06-22,0.682,0.663,0.688,0.662,135420,9104574.0,3.8,-3.21,-0.022,2.11
2022-06-23,0.667,0.675,0.677,0.662,112566,7549894.0,2.26,1.81,0.012,1.75
2022-06-24,0.678,0.686,0.692,0.676,135362,9270507.0,2.37,1.63,0.011,2.11
2022-06-27,0.688,0.696,0.704,0.687,159165,11102780.0,2.48,1.46,0.01,2.48
2022-06-28,0.696,0.729,0.73,0.685,243619,17339939.0,6.47,4.74,0.033,3.79
2022-06-29,0.727,0.717,0.743,0.714,255494,18678000.0,3.98,-1.65,-0.012,3.98
2022-06-30,0.718,0.731,0.735,0.713,164261,11915072.0,3.07,1.95,0.014,2.56
2022-07-01,0.732,0.729,0.74,0.723,115446,8431637.0,2.33,-0.27,-0.002,1.8
2022-07-04,0.725,0.706,0.725,0.698,268328,18907767.0,3.7,-3.16,-0.023,4.18
2022-07-05,0.704,0.704,0.713,0.694,166844,11719233.0,2.69,-0.28,-0.002,2.6
2022-07-06,0.703,0.728,0.733,0.701,294810,21223696.0,4.55,3.41,0.024,4.59
2022-07-07,0.725,0.711,0.727,0.704,195472,13924469.0,3.16,-2.34,-0.017,3.04
2022-07-08,0.712,0.715,0.731,0.712,164651,11892973.0,2.67,0.56,0.004,2.56
2022-07-11,0.714,0.695,0.714,0.691,166108,11581211.0,3.22,-2.8,-0.02,2.59
2022-07-12,0.695,0.672,0.698,0.672,154063,10476380.0,3.74,-3.31,-0.023,2.4
2022-07-13,0.672,0.667,0.676,0.658,135014,8979748.0,2.68,-0.74,-0.005,2.1
2022-07-14,0.661,0.669,0.675,0.661,98679,6619086.0,2.1,0.3,0.002,1.54
2022-07-15,0.669,0.667,0.682,0.666,152858,10305610.0,2.39,-0.3,-0.002,2.38
2022-07-18,0.667,0.665,0.67,0.653,131083,8665060.0,2.55,-0.3,-0.002,2.04
2022-07-19,0.663,0.664,0.669,0.655,117425,7781354.0,2.11,-0.15,-0.001,1.83
2022-07-20,0.665,0.671,0.677,0.665,139429,9383145.0,1.81,1.05,0.007,2.17
2022-07-21,0.671,0.684,0.698,0.664,273028,18821283.0,5.07,1.94,0.013,4.25
2022-07-22,0.684,0.679,0.7,0.672,89583,6081863.0,4.09,-0.73,-0.005,1.4
2022-07-25,0.678,0.669,0.683,0.666,103660,6970181.0,2.5,-1.47,-0.01,1.61
2022-07-26,0.669,0.672,0.672,0.659,90104,6000236.0,1.94,0.45,0.003,1.4
2022-07-27,0.672,0.662,0.672,0.661,143745,9565178.0,1.64,-1.49,-0.01,2.24
2022-07-28,0.667,0.677,0.685,0.667,270731,18348290.0,2.72,2.27,0.015,4.22
2022-07-29,0.677,0.66,0.677,0.658,200121,13323872.0,2.81,-2.51,-0.017,3.12
2022-08-01,0.659,0.668,0.668,0.64,132416,8689769.0,4.24,1.21,0.008,2.06
2022-08-02,0.664,0.664,0.678,0.65,214453,14306243.0,4.19,-0.6,-0.004,3.34
2022-08-03,0.663,0.685,0.701,0.663,344627,23542711.0,5.72,3.16,0.021,5.37
2022-08-04,0.691,0.703,0.707,0.688,227219,15880519.0,2.77,2.63,0.018,3.54
2022-08-05,0.708,0.746,0.747,0.7,419816,30679011.0,6.69,6.12,0.043,6.54
2022-08-08,0.749,0.743,0.757,0.733,207785,15439409.0,3.22,-0.4,-0.003,3.24
2022-08-09,0.739,0.748,0.75,0.721,206542,15098279.0,3.9,0.67,0.005,3.22
2022-08-10,0.744,0.742,0.759,0.732,191038,14328853.0,3.61,-0.8,-0.006,2.98
2022-08-11,0.74,0.753,0.76,0.74,165754,12461486.0,2.7,1.48,0.011,2.58
2022-08-12,0.752,0.737,0.754,0.735,109429,8155250.0,2.52,-2.12,-0.016,1.7
2022-08-15,0.736,0.732,0.744,0.73,127757,9386039.0,1.9,-0.68,-0.005,1.99
2022-08-16,0.727,0.727,0.736,0.723,110135,8023836.0,1.78,-0.68,-0.005,1.72
2022-08-17,0.727,0.727,0.729,0.717,125339,9051995.0,1.65,0.0,0.0,1.95
2022-08-18,0.725,0.738,0.739,0.72,138875,10137818.0,2.61,1.51,0.011,2.16
2022-08-19,0.735,0.718,0.75,0.716,163461,11977494.0,4.61,-2.71,-0.02,2.55
2022-08-22,0.717,0.72,0.723,0.709,103999,7456220.0,1.95,0.28,0.002,1.62
2022-08-23,0.714,0.712,0.723,0.711,159892,11436948.0,1.67,-1.11,-0.008,2.49
2022-08-24,0.712,0.683,0.714,0.68,237140,16425496.0,4.78,-4.07,-0.029,3.69
2022-08-25,0.68,0.678,0.686,0.669,88666,5994136.0,2.49,-0.73,-0.005,1.38
2022-08-26,0.678,0.673,0.683,0.667,137772,9282884.0,2.36,-0.74,-0.005,2.15
2022-08-29,0.663,0.668,0.675,0.658,120543,8061231.0,2.53,-0.74,-0.005,1.88
2022-08-30,0.664,0.673,0.679,0.664,98695,6632938.0,2.25,0.75,0.005,1.54
2022-08-31,0.673,0.663,0.674,0.66,126367,8407887.0,2.08,-1.49,-0.01,1.97
2022-09-01,0.663,0.658,0.678,0.657,161340,10750558.0,3.17,-0.75,-0.005,2.51
2022-09-02,0.66,0.668,0.672,0.657,137300,9152905.0,2.28,1.52,0.01,2.14
2022-09-05,0.668,0.663,0.67,0.652,114442,7560347.0,2.69,-0.75,-0.005,1.78
2022-09-06,0.663,0.668,0.67,0.659,72116,4779426.0,1.66,0.75,0.005,1.12
2022-09-07,0.672,0.684,0.689,0.67,187001,12752034.0,2.84,2.4,0.016,2.91
2022-09-08,0.684,0.677,0.695,0.676,81053,5506170.0,2.78,-1.02,-0.007,1.26
2022-09-09,0.676,0.675,0.677,0.668,105115,7057593.0,1.33,-0.3,-0.002,1.64
2022-09-13,0.674,0.673,0.684,0.671,88614,5989776.0,1.93,-0.3,-0.002,1.38
2022-09-14,0.66,0.673,0.674,0.659,132589,8857085.0,2.23,0.0,0.0,2.07
2022-09-15,0.671,0.654,0.675,0.645,191632,12580041.0,4.46,-2.82,-0.019,2.99
2022-09-16,0.653,0.65,0.66,0.647,111683,7296358.0,1.99,-0.61,-0.004,1.74
2022-09-19,0.649,0.632,0.654,0.631,131427,8401027.0,3.54,-2.77,-0.018,2.05
2022-09-20,0.631,0.629,0.638,0.625,100389,6316800.0,2.06,-0.47,-0.003,1.56
2022-09-21,0.626,0.619,0.627,0.614,90260,5582267.0,2.07,-1.59,-0.01,1.41
2022-09-22,0.617,0.614,0.622,0.613,84108,5187985.0,1.45,-0.81,-0.005,1.31
2022-09-23,0.615,0.603,0.617,0.596,107811,6516365.0,3.42,-1.79,-0.011,1.68
2022-09-26,0.596,0.599,0.607,0.593,63241,3796449.0,2.32,-0.66,-0.004,0.99
2022-09-27,0.602,0.61,0.611,0.598,106356,6443226.0,2.17,1.84,0.011,1.66
2022-09-28,0.61,0.597,0.61,0.596,96695,5809297.0,2.3,-2.13,-0.013,1.51
2022-09-29,0.598,0.596,0.605,0.592,84943,5071235.0,2.18,-0.17,-0.001,1.32
2022-09-30,0.595,0.58,0.597,0.579,116293,6849438.0,3.02,-2.68,-0.016,1.81
2022-10-10,0.58,0.543,0.58,0.541,204192,11273548.0,6.72,-6.38,-0.037,3.18
2022-10-11,0.544,0.534,0.544,0.53,137742,7350897.0,2.58,-1.66,-0.009,2.15
2022-10-12,0.535,0.552,0.553,0.526,138658,7439248.0,5.06,3.37,0.018,2.16
2022-10-13,0.55,0.551,0.558,0.547,101685,5625483.0,1.99,-0.18,-0.001,1.58
2022-10-14,0.553,0.567,0.568,0.552,159034,8886674.0,2.9,2.9,0.016,2.48
2022-10-17,0.567,0.578,0.579,0.558,103956,5935519.0,3.7,1.94,0.011,1.62
2022-10-18,0.579,0.576,0.581,0.569,100494,5764980.0,2.08,-0.35,-0.002,1.57
2022-10-19,0.574,0.568,0.577,0.566,125862,7230228.0,1.91,-1.39,-0.008,1.96
