日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-09-03,0.991,0.928,0.992,0.925,772116,73589864.0,6.8,-5.88,-0.058,43.16
2025-09-04,0.931,0.899,0.932,0.888,395620,35974832.0,4.74,-3.13,-0.029,22.12
2025-09-05,0.904,0.914,0.914,0.892,241011,21822817.0,2.45,1.67,0.015,13.47
2025-09-08,0.915,0.933,0.933,0.91,201590,18567838.0,2.52,2.08,0.019,11.27
2025-09-09,0.933,0.91,0.933,0.906,194954,17851397.0,2.89,-2.47,-0.023,10.9
2025-09-10,0.909,0.916,0.925,0.909,143513,13184467.0,1.76,0.66,0.006,8.02
2025-09-11,0.92,0.929,0.929,0.907,274656,25335807.0,2.4,1.42,0.013,15.35
2025-09-12,0.928,0.926,0.936,0.925,156324,14549165.0,1.18,-0.32,-0.003,8.74
2025-09-15,0.926,0.916,0.926,0.916,201284,18524396.0,1.08,-1.08,-0.01,11.25
2025-09-16,0.915,0.918,0.92,0.908,169937,15525129.0,1.31,0.22,0.002,9.5
2025-09-17,0.915,0.919,0.924,0.912,144847,13333978.0,1.31,0.11,0.001,8.1
2025-09-18,0.919,0.914,0.933,0.904,369105,34101878.0,3.16,-0.54,-0.005,20.63
2025-09-19,0.912,0.92,0.932,0.912,175192,16203734.0,2.19,0.66,0.006,9.79
2025-09-22,0.917,0.929,0.929,0.917,186518,17255822.0,1.3,0.98,0.009,10.43
2025-09-23,0.928,0.916,0.93,0.901,277392,25264992.0,3.12,-1.4,-0.013,15.51
2025-09-24,0.914,0.932,0.934,0.907,384538,35582789.0,2.95,1.75,0.016,21.5
2025-09-25,0.934,0.93,0.939,0.929,138069,12887315.0,1.07,-0.21,-0.002,7.72
2025-09-26,0.93,0.926,0.94,0.924,173361,16156650.0,1.72,-0.43,-0.004,9.69
2025-09-29,0.926,0.926,0.928,0.913,117066,10767135.0,1.62,0.0,0.0,6.54
2025-09-30,0.926,0.949,0.953,0.926,304503,28738482.0,2.92,2.48,0.023,17.02
